TARIH SAAT;RAF1;RAF2;RAF3;RAF4;L_PRES;H_PRES;VACUM;SERP2;SERP4;KONDANSER
2026-01-26-17:24:13.969;9.403703;9.549999;9.569231;9.626924;-2.254456;7.369187;287.205;10.8;10.8;9.2
2026-01-26-17:27:14.169;9.411111;9.542306;9.573076;9.619231;-1.740044;14.492907;287.1219;-14.400001;-14.400001;16.7
2026-01-26-17:30:14.169;9.4;9.503846;9.561537;9.573076;-1.346253;16.65698;287.5493;-11.7;-11.7;34.9
2026-01-26-17:33:14.368;9.381481;9.457691;9.542307;9.538462;-0.9500961;11.524691;287.5929;-5.3;-5.3;32.3
2026-01-26-17:36:14.368;9.374074;9.407693;9.534614;9.511539;-0.6473618;10.912127;287.5919;-0.5;-0.5;26.1
2026-01-26-17:39:14.568;9.362963;9.38846;9.523075;9.473078;-0.420311;10.148195;287.729;2.5;2.5;23.2
2026-01-26-17:42:14.568;9.351851;9.361539;9.51923;9.457693;-0.2334671;7.924989;287.7109;4.200001;4.200001;20.6
2026-01-26-17:45:14.768;9.355556;9.342307;9.515383;9.430769;-0.9335403;9.859652;287.3101;5.1;5.1;18.4
2026-01-26-17:48:14.768;9.333335;9.276923;9.492307;9.384615;-2.004937;17.18677;287.3283;-15.900001;-15.900001;27.5
2026-01-26-17:51:14.968;9.303703;9.200001;9.473076;9.31154;-2.159851;15.869402;287.2808;-19.3;-19.3;27.7
2026-01-26-17:54:14.968;9.292593;9.134616;9.453845;9.246153;-2.22844;13.487734;287.385;-21.6;-21.6;28.3
2026-01-26-17:57:15.168;9.244446;9.061538;9.434614;9.16923;-2.320679;14.880785;287.2994;-23.5;-23.5;31.5
2026-01-26-18:00:15.168;9.225926;8.988461;9.399999;9.092307;-2.476776;15.297045;287.3894;-26.5;-26.5;28.6
2026-01-26-18:03:15.368;9.196297;8.896153;9.376922;9.038462;-2.453125;13.686403;287.3375;-30.5;-30.5;27.6
2026-01-26-18:06:15.368;9.162963;8.834616;9.338461;8.965384;-2.036866;14.920992;287.8974;-21.8;-21.8;31.3
2026-01-26-18:09:15.567;9.118519;8.776923;9.323075;8.919231;-1.786164;13.913454;287.807;-14.2;-14.2;29.7
2026-01-26-18:12:15.567;9.092592;8.730769;9.288461;8.857693;-1.962364;12.853884;287.3421;-15.400001;-15.400001;32.8
2026-01-26-18:15:15.768;9.081482;8.684615;9.26923;8.81923;-2.272194;14.171251;287.3801;-10.0;-10.0;26.9
2026-01-26-18:18:15.767;9.070371;8.657693;9.25;8.796154;-2.159851;17.56519;287.3261;9.2;9.2;35.0
2026-01-26-18:21:15.967;9.074074;8.657692;9.25;8.792308;-2.197693;16.34006;287.3106;11.3;11.3;30.1
2026-01-26-18:24:15.967;9.096296;8.707691;9.284616;8.823078;-1.976555;17.72838;287.7438;22.1;22.1;28.8
2026-01-26-18:27:16.167;9.133334;8.753844;9.334616;8.888462;-1.693924;16.00658;287.832;18.5;18.5;28.0
2026-01-26-18:30:16.167;9.140741;8.776922;9.346154;8.915384;-1.684464;14.802736;287.7588;16.2;16.2;27.4
2026-01-26-18:33:16.367;9.166667;8.803845;9.353847;8.938462;-1.682099;13.894533;287.7135;14.6;14.6;27.2
2026-01-26-18:36:16.367;9.181481;8.815385;9.361539;8.953846;-1.678551;13.18973;287.7249;13.400001;13.400001;26.8
2026-01-26-18:39:16.567;9.2;8.826922;9.369231;8.973077;-1.673821;12.586626;287.6603;12.6;12.6;26.2
2026-01-26-18:42:16.567;9.214814;8.838461;9.38077;8.988462;-1.672638;11.995348;287.7107;11.900001;11.900001;25.4
2026-01-26-18:45:16.767;9.211112;8.857691;9.380769;8.999999;-1.66436;11.527056;287.6602;11.3;11.3;24.3
2026-01-26-18:48:16.767;9.222221;8.876923;9.392307;9.011539;-1.665543;11.08951;287.7937;10.900001;10.900001;23.1
2026-01-26-18:51:16.967;9.237037;8.880769;9.403847;9.01923;-1.658448;10.685076;287.6777;10.6;10.6;22.2
